ano_ingresso,ano_nasc,ano_referencia,atingiu_pv,ativo_inativo,avaliador_1,avaliador_2,avaliador_3,avaliador_4,avaliador_5,avaliador_6,cf,cg,ct,defasagem,destaque_ida,destaque_ieh,destaque_ipv,escola,fase,fase_ideal,genero,iaa,ian,ida,idade,ieg,inde_2023,inde_2024,inde_22,inde_23,indicado,ingles,instituicao_de_ensino,ipp,ips,ipv,matematica,num_av,pedra_20,pedra_2023,pedra_2024,pedra_21,pedra_22,pedra_23,portugues,rec_av1,rec_av2,rec_av3,rec_av4,rec_psicologia,turma,inde,pedra,genero_NUM,pedra_20_NUM,pedra_2023_NUM,pedra_2024_NUM,pedra_21_NUM,pedra_22_NUM,pedra_23_NUM,pedra_NUM
2019,2011,,1,,Avaliador-5,Avaliador-27,Avaliador-30,nan,,,31.0,191.0,4.0,0.0,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa entrega das lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,,2.0,Fase 2 (5º e 6º ano),Masculino,9.0,10.0,7.0,12.0,8.1,,7.7730935185,7.834,7.5595,Não,6.7,Escola Pública,7.5,5.6,8.389,7.3,3.0,Ametista,Ametista,Ametista,Ametista,Ametista,nan,6.7,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,nan,Requer avaliação,D,7.834,Ametista,0,2.0,2.0,2.0,2.0,2.0,0.0,2.0
"202100,00%",,,0,Cursando,Avaliador-21,Avaliador-20,Avaliador-26,nan,nan,nan,67.0,430.5,6.0,0.0,nan,nan,nan,Colégio Arco Íris Evolução,2.0,Fase 4 (9° ano),Feminino,8.8,10.0,7.8,14.0,9.5,,9.0,7.928,7.81,nan,9.0,Privada - Programa de Apadrinhamento,8.4,5.6,9.1,7.5,3.0,Ametista,Ametista,Topázio,Topázio,Ametista,Ametista,7.0,nan,nan,,,nan,4C,9.0,Ametista,1,2.0,2.0,3.0,3.0,2.0,2.0,2.0
2022,2015,,0,,Avaliador-11,Avaliador-3,nan,nan,,,184.0,767.0,9.0,0.0,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,,0.0,ALFA  (2º e 3º ano),Feminino,9.0,10.0,2.1,12.0,6.8,,7.7730935185,5.666,7.5595,Não,6.7,Escola Pública,7.5,5.0,5.5,2.5,2.0,nan,Ametista,Ametista,nan,Quartzo,nan,1.8,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,nan,Não indicado,Z,5.666,nan,1,0.0,2.0,2.0,0.0,0.0,0.0,0.0
2016,,,0,,Avaliador-24,Avaliador-7,Avaliador-23,Avaliador-8,,,67.0,430.5,6.0,-2.0,nan,nan,nan,,2.0,Fase 7 (3° EM),Feminino,7.1,5.0,6.0,17.0,6.3,"5,937025",7.7730935185,7.056,7.5595,nan,6.2,Privada - Programa de Apadrinhamento,6.40625,2.52,6.88,7.3,4.0,Quartzo,Quartzo,Ametista,Ágata,Ametista,nan,4.5,nan,nan,nan,nan,nan,5F,"5,937025",Quartzo,1,0.0,0.0,2.0,1.0,2.0,0.0,0.0
2021,2008,,0,,Avaliador-6,Avaliador-27,Avaliador-30,Avaliador-31,,,28.0,358.0,6.0,0.0,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa entrega das lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,,4.0,Fase 4 (9º ano),Feminino,7.9,10.0,5.7,12.0,7.6,,7.7730935185,7.407,7.5595,Sim,5.6,Escola Pública,7.5,6.9,7.667,5.0,4.0,nan,Ametista,Ametista,Ametista,Ametista,nan,6.5,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase,Não atendido,F,7.407,nan,1,0.0,2.0,2.0,2.0,2.0,0.0,0.0
2017,2008,,0,,Avaliador-6,Avaliador-27,Avaliador-30,Avaliador-31,,,10.0,100.0,3.0,0.0,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa entrega das lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,,4.0,Fase 4 (9º ano),Masculino,9.2,10.0,6.7,12.0,9.7,,7.7730935185,8.15,7.5595,Não,6.0,Rede Decisão,7.5,5.6,8.0,8.3,4.0,Ametista,Ametista,Ametista,Topázio,Topázio,nan,5.7,Promovido de Fase + Bolsa,Mantido na Fase atual,Mantido na Fase atual,Promovido de Fase + Bolsa,Requer avaliação,A,8.15,Ametista,0,2.0,2.0,2.0,3.0,3.0,0.0,2.0
"202400,00%",,,0,Cursando,Avaliador-15,Avaliador-2,nan,nan,nan,nan,67.0,430.5,6.0,0.0,nan,nan,nan,EM Etelvina Delfim Simões,2.0,Fase 1 (3° e 4° ano),Feminino,9.5,10.0,8.5,10.0,9.3,,9.0,7.306,7.5595,nan,6.7,Pública,8.8,6.9,8.8,10.0,2.0,nan,Ametista,Topázio,nan,nan,nan,7.0,nan,nan,,,nan,1E,9.0,nan,1,0.0,2.0,3.0,0.0,0.0,0.0,0.0
2021,2010,,0,,Avaliador-7,Avaliador-3,nan,nan,,,173.0,726.0,11.0,-2.0,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa entrega das lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,,1.0,Fase 3 (7º e 8º ano),Masculino,0.0,5.0,6.8,12.0,7.5,,7.7730935185,6.018,7.5595,Não,6.7,Escola Pública,7.5,7.5,6.833,8.5,3.0,nan,Ametista,Ametista,Ametista,Ágata,nan,5.0,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,nan,Não atendido,M,6.018,nan,0,0.0,2.0,2.0,2.0,1.0,0.0,0.0
2022,2008,,1,,Avaliador-6,Avaliador-30,Avaliador-31,nan,,,28.0,174.0,2.0,-1.0,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa entrega das lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,,3.0,Fase 4 (9º ano),Feminino,10.0,5.0,6.1,12.0,10.0,,7.7730935185,7.889,7.5595,Sim,4.7,Escola Pública,7.5,6.9,8.389,7.0,3.0,nan,Ametista,Ametista,nan,Ametista,nan,6.5,Promovido de Fase + Bolsa,Mantido na Fase + Bolsa,Promovido de Fase,Promovido de Fase,Não atendido,N,7.889,nan,1,0.0,2.0,2.0,0.0,2.0,0.0,0.0
2023,,,0,,Avaliador-15,Avaliador-5,Avaliador-2,nan,,,67.0,430.5,6.0,0.0,nan,nan,nan,,2.0,Fase 2 (5° e 6° ano),Masculino,8.0,10.0,6.8,11.0,9.7,8,7.7730935185,7.306,7.5595,nan,6.7,Pública,7.9,3.8,7.56,5.5,3.0,nan,Ametista,Ametista,nan,nan,nan,8.0,nan,nan,nan,nan,nan,2N,8,nan,0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
"202300,00%",,,0,Cursando,Avaliador-3,Avaliador-15,nan,nan,nan,nan,67.0,430.5,6.0,-1.0,nan,nan,nan,EE Joaquim Mendes Feliz,2.0,Fase 2 (5° e 6° ano),Masculino,8.5,5.0,8.0,12.0,9.8,,8.0,7.306,7.434,nan,6.7,Pública,7.8,7.5,7.9,9.0,2.0,nan,Ametista,Topázio,nan,nan,Ametista,7.0,nan,nan,,,nan,1C,8.0,nan,0,0.0,2.0,3.0,0.0,0.0,2.0,0.0
"202100,00%",,,0,,Avaliador-15,Avaliador-5,Avaliador-2,nan,,,67.0,430.5,6.0,-1.0,nan,nan,nan,,2.0,Fase 3 (7° e 8° ano),Feminino,8.0,5.0,9.2,12.0,8.6,8,7.7730935185,8.013,7.5595,nan,6.7,Pública,9.0,2.5,9.566666667,8.8,3.0,nan,Ametista,Ametista,Ágata,Ametista,nan,9.5,nan,nan,nan,nan,nan,2I,8,nan,1,0.0,2.0,2.0,1.0,2.0,0.0,0.0
2022,,,0,,Avaliador-15,Avaliador-4,Avaliador-3,nan,,,67.0,430.5,6.0,0.0,nan,nan,nan,,2.0,Fase 1 (3° e 4° ano),Feminino,9.5,10.0,7.8,12.0,9.1,8,7.7730935185,8.093,7.5595,nan,6.7,Pública,7.9,3.8,8.39,6.3,3.0,nan,Topázio,Ametista,nan,Topázio,nan,9.2,nan,nan,nan,nan,nan,1G,8,nan,1,0.0,3.0,2.0,0.0,3.0,0.0,0.0
2023,,,0,,Avaliador-24,Avaliador-7,Avaliador-23,Avaliador-8,,,67.0,430.5,6.0,-1.0,nan,nan,nan,,2.0,Fase 7 (3° EM),Masculino,7.5,5.0,5.3,17.0,9.2,"6,8265",7.7730935185,7.306,7.5595,nan,5.7,Pública,7.5,5.0,7.1325,6.7,4.0,nan,Agata,Ametista,nan,nan,nan,3.5,nan,nan,nan,nan,nan,6L,"6,8265",nan,0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
"202400,00%",,,0,Cursando,Avaliador-21,Avaliador-20,Avaliador-26,nan,nan,nan,67.0,430.5,6.0,-1.0,nan,nan,nan,EE Mario Francisco de Amorim,2.0,Fase 5 (1° EM),Masculino,10.0,5.0,4.3,12.0,5.0,,6.0,7.306,7.5595,nan,2.0,Pública,7.3,7.5,7.3,4.0,3.0,nan,Ametista,Agata,nan,nan,nan,7.0,nan,nan,,,nan,4C,6.0,nan,0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
"202200,00%",,,0,,Avaliador-13,Avaliador-3,nan,nan,,,67.0,430.5,6.0,0.0,nan,nan,nan,,2.0,ALFA (1° e 2° ano),Feminino,10.0,10.0,8.5,12.0,9.4,9,7.7730935185,7.944,7.5595,nan,6.7,Pública,7.5,6.9,10.01,8.2,2.0,nan,Topázio,Ametista,nan,Ametista,nan,8.7,nan,nan,nan,nan,nan,ALFA D - G2/G3,9,nan,1,0.0,3.0,2.0,0.0,2.0,0.0,0.0
2021,2012,,0,,Avaliador-4,Avaliador-2,nan,nan,,,124.0,477.0,8.0,-1.0,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa entrega das lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,,1.0,Fase 2 (5º e 6º ano),Feminino,8.5,5.0,5.8,12.0,9.0,,7.7730935185,7.039,7.5595,Não,6.7,Escola Pública,7.5,7.5,7.0,4.8,3.0,nan,Ametista,Ametista,Topázio,Ametista,nan,6.8,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,nan,Não atendido,P,7.039,nan,1,0.0,2.0,2.0,3.0,2.0,0.0,0.0
"202200,00%",,,0,,Avaliador-15,Avaliador-5,Avaliador-2,nan,,,67.0,430.5,6.0,-1.0,nan,nan,nan,,2.0,Fase 2 (5° e 6° ano),Masculino,9.5,5.0,7.1,12.0,8.2,7,7.7730935185,6.763,7.5595,nan,6.7,Pública,6.0,7.5,7.613333333,7.0,3.0,nan,Ametista,Ametista,nan,Ágata,nan,7.2,nan,nan,nan,nan,nan,1P,7,nan,0,0.0,2.0,2.0,0.0,1.0,0.0,0.0
2023,,,0,,Avaliador-15,Avaliador-5,Avaliador-2,nan,,,67.0,430.5,6.0,-1.0,nan,nan,nan,,2.0,Fase 2 (5° e 6° ano),Feminino,8.0,5.0,6.5,10.0,9.3,8,7.7730935185,7.306,7.5595,nan,6.7,Privada,8.9,7.5,8.17,7.5,3.0,nan,Ametista,Ametista,nan,nan,nan,5.5,nan,nan,nan,nan,nan,1F,8,nan,1,0.0,2.0,2.0,0.0,0.0,0.0,0.0
"202300,00%",,,0,Cursando,Avaliador-3,Avaliador-13,nan,nan,nan,nan,67.0,430.5,6.0,-1.0,nan,nan,nan,EE Dom Pedro Villas Boas de Souza,2.0,Fase 1 (3° e 4° ano),Feminino,9.0,5.0,8.8,12.0,8.9,,8.0,7.306,8.962,nan,6.7,Privada,7.5,7.5,7.5,10.0,2.0,nan,Ametista,Ametista,nan,nan,Topázio,7.5,nan,nan,,,nan,ALFA J - G2/G3,8.0,nan,1,0.0,2.0,2.0,0.0,0.0,3.0,0.0
"202300,00%",,,0,Cursando,Avaliador-13,Avaliador-2,nan,nan,nan,nan,67.0,430.5,6.0,-1.0,nan,nan,nan,EM Cecilia Cristina de Oliveira Rodrigues,2.0,Fase 1 (3° e 4° ano),Feminino,9.0,5.0,9.3,12.0,7.8,,8.0,7.306,7.901,nan,6.7,Pública,7.5,7.5,8.3,10.0,2.0,nan,Ametista,Ametista,nan,nan,Ametista,8.5,nan,nan,,,nan,ALFA N - G2/G3,8.0,nan,1,0.0,2.0,2.0,0.0,0.0,2.0,0.0
2022,,,0,Cursando,Avaliador-21,Avaliador-26,Avaliador-23,Avaliador-5,nan,nan,67.0,430.5,6.0,-1.0,nan,nan,nan,EE Leonice de Aquino Oliveira,2.0,Fase 4 (9° ano),Feminino,7.1,5.0,1.8,15.0,5.7,,6.0,7.306,7.5595,nan,6.7,Pública,7.7,9.4,6.6,0.0,4.0,nan,Ametista,Quartzo,nan,nan,nan,3.5,nan,nan,,,nan,3A,6.0,nan,1,0.0,2.0,0.0,0.0,0.0,0.0,0.0
2024,,,0,Cursando,Avaliador-24,Avaliador-1,Avaliador-7,nan,nan,nan,67.0,430.5,6.0,-2.0,nan,nan,nan,EE Joaquim Mendes Feliz,2.0,Fase 7 (3° EM),Masculino,7.1,5.0,4.5,17.0,8.4,,6.458918622,7.306,7.5595,nan,9.0,Pública,7.5,7.5,5.9,2.0,3.0,nan,Ametista,Agata,nan,nan,nan,2.5,nan,nan,,,nan,5F,6.458918622,nan,0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
2021,,,0,Cursando,nan,nan,nan,nan,nan,nan,67.0,430.5,6.0,0.0,nan,nan,nan,Faculdade FIAP,2.0,Fase 8 (Universitários),Feminino,8.8,10.0,6.7,12.0,8.7,,7.7730935185,7.306,7.5595,nan,6.7,Privada - Pagamento por *Empresa Parceira,7.5,7.5,7.5875,6.3,0.0,nan,Ametista,#DIV/0!,nan,nan,nan,6.7,nan,nan,,,nan,8E,,nan,1,0.0,2.0,0.0,0.0,0.0,0.0,0.0
2018,2007,,0,,Avaliador-6,Avaliador-27,Avaliador-30,Avaliador-31,,,63.0,693.0,12.0,-1.0,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,,4.0,Fase 5 (1º EM),Feminino,7.5,5.0,4.6,12.0,6.4,,7.7730935185,6.258,7.5595,Sim,6.0,Escola Pública,7.5,7.5,6.5,3.3,4.0,Topázio,Ametista,Ametista,Ágata,Ágata,nan,4.3,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Promovido de Fase + Bolsa,Sem limitações,A,6.258,Topázio,1,3.0,2.0,2.0,1.0,1.0,0.0,3.0
2021,,,0,Cursando,nan,nan,nan,nan,nan,nan,67.0,430.5,6.0,1.0,nan,nan,nan,Bolsista Universitário *Formado (a),9.0,Fase 8 (Universitários),Masculino,8.8,10.0,6.7,12.0,8.7,,7.7730935185,7.306,7.5595,nan,6.7,Bolsista Universitário *Formado (a),7.5,7.5,7.5875,6.3,0.0,nan,Ametista,INCLUIR,nan,nan,nan,6.7,nan,nan,,,nan,9,,nan,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
"201900,00%",,,0,,Avaliador-15,Avaliador-5,Avaliador-2,nan,,,67.0,430.5,6.0,0.0,nan,nan,nan,,2.0,Fase 2 (5° e 6° ano),Feminino,9.5,10.0,5.8,11.0,9.0,8,7.7730935185,6.714,7.5595,nan,6.7,Pública,8.3,2.5,8.56,5.0,3.0,Topázio,Ametista,Ametista,Ametista,Ágata,nan,6.5,nan,nan,nan,nan,nan,2I,8,Topázio,1,3.0,2.0,2.0,2.0,1.0,0.0,3.0
"202100,00%",,,0,Cursando,Avaliador-21,Avaliador-16,Avaliador-26,Avaliador-7,nan,nan,67.0,430.5,6.0,-1.0,nan,nan,nan,EE João Ortiz Rodrigues,2.0,Fase 4 (9° ano),Masculino,7.9,5.0,7.0,12.0,6.2,,7.0,6.969,5.796,nan,9.5,Pública,7.7,7.5,6.7,4.5,4.0,Ametista,Ametista,Agata,Ametista,Ágata,Quartzo,7.0,nan,nan,,,nan,3G,7.0,Ametista,0,2.0,2.0,1.0,2.0,1.0,0.0,2.0
2024,,,0,Cursando,Avaliador-21,Avaliador-26,Avaliador-23,Avaliador-5,nan,nan,67.0,430.5,6.0,-1.0,nan,nan,nan,EE Maria André Schunck Dona,2.0,Fase 4 (9° ano),Masculino,9.2,5.0,4.7,15.0,4.3,,6.0,7.306,7.5595,nan,4.5,Pública,7.5,9.4,6.7,5.0,4.0,nan,Ametista,Agata,nan,nan,nan,4.5,nan,nan,,,nan,3A,6.0,nan,0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
"201700,00%",,,0,,Avaliador-24,Avaliador-7,Avaliador-23,Avaliador-8,,,67.0,430.5,6.0,-2.0,nan,nan,nan,,2.0,Fase 7 (3° EM),Masculino,0.0,5.0,5.7,17.0,9.4,6,7.7730935185,7.084,7.5595,nan,6.7,Privada - Programa de Apadrinhamento,6.9,5.0,6.8375,5.0,4.0,Ametista,Agata,Ametista,Ametista,Ametista,nan,5.3,nan,nan,nan,nan,nan,5A,6,Ametista,0,2.0,1.0,2.0,2.0,2.0,0.0,2.0
2021,,,0,Cursando,nan,nan,nan,nan,nan,nan,67.0,430.5,6.0,0.0,nan,nan,nan,Universidade Anhembi Morumbi,2.0,Fase 8 (Universitários),Masculino,8.8,10.0,6.7,12.0,8.7,,7.7730935185,7.306,7.5595,nan,6.7,Privada,7.5,7.5,7.5875,6.3,0.0,nan,Ametista,#DIV/0!,nan,nan,nan,6.7,nan,nan,,,nan,8B,,nan,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
"202100,00%",,,0,,Avaliador-21,Avaliador-6,Avaliador-4,Avaliador-8,,,67.0,430.5,6.0,-1.0,nan,nan,nan,,2.0,Fase 4 (9° ano),Masculino,8.8,5.0,4.6,12.0,6.8,7,7.7730935185,5.75,7.5595,nan,2.5,Pública,8.1,6.3,7.1725,5.7,4.0,nan,Agata,Ametista,Ametista,Quartzo,nan,5.7,nan,nan,nan,nan,nan,3B,7,nan,0,0.0,1.0,2.0,2.0,0.0,0.0,0.0
2022,2012,,0,,Avaliador-13,Avaliador-3,nan,nan,,,123.0,416.0,3.0,-2.0,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa entrega das lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,,0.0,Fase 2 (5º e 6º ano),Feminino,9.5,5.0,5.4,12.0,9.3,,7.7730935185,7.232,7.5595,Não,6.7,Escola Pública,7.5,7.5,7.667,5.8,2.0,nan,Ametista,Ametista,nan,Ametista,nan,5.0,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,nan,Não atendido,Q,7.232,nan,1,0.0,2.0,2.0,0.0,2.0,0.0,0.0
"202300,00%",,,0,,Avaliador-32,Avaliador-5,Avaliador-2,nan,,,67.0,430.5,6.0,0.0,nan,nan,nan,,2.0,Fase 2 (5° e 6° ano),Masculino,0.0,10.0,6.9,11.0,9.3,7,7.7730935185,7.306,7.5595,nan,6.7,Pública,7.3,6.9,8.616666667,5.2,3.0,nan,Ametista,Ametista,nan,nan,nan,8.5,nan,nan,nan,nan,nan,2L,7,nan,0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
"202300,00%",,,0,,Avaliador-21,Avaliador-6,Avaliador-23,Avaliador-8,,,67.0,430.5,6.0,1.0,nan,nan,nan,,2.0,Fase 3 (7° e 8° ano),Feminino,8.8,10.0,5.3,13.0,6.9,7,7.7730935185,7.306,7.5595,nan,6.2,Pública,7.3,2.5,6.715,4.7,4.0,nan,Agata,Ametista,nan,nan,nan,5.0,nan,nan,nan,nan,nan,4G,7,nan,1,0.0,1.0,2.0,0.0,0.0,0.0,0.0
"202100,00%",,,0,Cursando,Avaliador-19,Avaliador-25,Avaliador-2,nan,nan,nan,67.0,430.5,6.0,0.0,nan,nan,nan,EM Cecilia Cristina de Oliveira Rodrigues,2.0,Fase 2 (5° e 6° ano),Feminino,8.0,10.0,7.5,11.0,8.0,,8.0,7.011,7.652,nan,6.7,Pública,7.5,7.5,7.2,8.0,3.0,nan,Ametista,Ametista,Ametista,Ágata,Ametista,7.0,nan,nan,,,nan,2L,8.0,nan,1,0.0,2.0,2.0,2.0,1.0,2.0,0.0
"202200,00%",,,0,,Avaliador-15,Avaliador-5,Avaliador-2,nan,,,67.0,430.5,6.0,0.0,nan,nan,nan,,2.0,Fase 2 (5° e 6° ano),Feminino,7.8,10.0,6.5,11.0,9.8,8,7.7730935185,7.05,7.5595,nan,6.7,Pública,8.8,2.5,9.006666667,5.5,3.0,nan,Ametista,Ametista,nan,Ametista,nan,7.5,nan,nan,nan,nan,nan,2H,8,nan,1,0.0,2.0,2.0,0.0,2.0,0.0,0.0
2020,2010,,0,,Avaliador-5,Avaliador-2,Avaliador-15,nan,,,86.0,548.0,8.0,-1.0,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,,2.0,Fase 3 (7º e 8º ano),Masculino,10.0,5.0,5.3,12.0,7.0,,7.7730935185,6.823,7.5595,Não,6.7,Escola Pública,7.5,7.5,7.5,4.0,3.0,Ametista,Ametista,Ametista,Ametista,Ágata,nan,6.5,Mantido na Fase atual,Promovido de Fase,Promovido de Fase,nan,Sem limitações,A,6.823,Ametista,0,2.0,2.0,2.0,2.0,1.0,0.0,2.0
"202300,00%",,,0,Cursando,Avaliador-14,Avaliador-3,Avaliador-15,nan,nan,nan,67.0,430.5,6.0,0.0,nan,nan,nan,EE Chácara Florida II,2.0,Fase 1 (3° e 4° ano),Masculino,8.5,10.0,7.3,12.0,9.3,,7.0,7.306,6.862,nan,6.7,Pública,5.3,4.4,5.8,6.0,3.0,nan,Ametista,Ametista,nan,nan,Agata,8.5,nan,nan,,,nan,1B,7.0,nan,0,0.0,2.0,2.0,0.0,0.0,1.0,0.0
2022,,,0,,nan,nan,nan,nan,,,67.0,430.5,6.0,0.0,nan,nan,nan,,2.0,Fase 8 (Universitários),Feminino,8.8,10.0,6.7,18.0,8.7,,7.7730935185,6.304,7.5595,nan,6.7,Privada *Parcerias com Bolsa 100%,7.5,7.5,7.5875,6.3,3.0,nan,nan,Ametista,nan,Ágata,nan,6.7,nan,nan,nan,nan,nan,8E,6.304,nan,1,0.0,0.0,2.0,0.0,1.0,0.0,0.0
"202200,00%",,,0,,Avaliador-21,Avaliador-6,Avaliador-34,Avaliador-8,,,67.0,430.5,6.0,0.0,nan,nan,nan,,2.0,Fase 3 (7° e 8° ano),Feminino,7.9,10.0,4.7,12.0,8.2,7,7.7730935185,6.58,7.5595,nan,4.8,Pública,7.5,2.5,8.165,5.0,4.0,nan,Ametista,Ametista,nan,Ágata,nan,4.2,nan,nan,nan,nan,nan,3N,7,nan,1,0.0,2.0,2.0,0.0,1.0,0.0,0.0
2023,,,0,,Avaliador-32,Avaliador-7,Avaliador-23,Avaliador-8,,,67.0,430.5,6.0,-1.0,nan,nan,nan,,2.0,Fase 8 (Universitários),Feminino,7.1,5.0,6.8,12.0,10.0,"7,026466667",7.7730935185,7.306,7.5595,nan,9.0,Nenhuma das opções acima,6.875,5.63,6.005,5.0,4.0,nan,Ametista,Ametista,nan,nan,nan,6.5,nan,nan,nan,nan,nan,7A,"7,026466667",nan,1,0.0,2.0,2.0,0.0,0.0,0.0,0.0
"202400,00%",,,0,Cursando,Avaliador-11,Avaliador-2,nan,nan,nan,nan,67.0,430.5,6.0,0.0,nan,nan,nan,EE Dom Pedro Villas Boas de Souza,2.0,ALFA (1° e 2° ano),Masculino,8.5,10.0,10.0,7.0,9.3,,9.0,7.306,7.5595,nan,6.7,Pública,7.5,7.5,8.2,10.0,2.0,nan,Ametista,Topázio,nan,nan,nan,10.0,nan,nan,,,nan,ALFA Y - G0/G1,9.0,nan,0,0.0,2.0,3.0,0.0,0.0,0.0,0.0
2021,2007,,0,,Avaliador-6,Avaliador-27,Avaliador-30,Avaliador-31,,,58.0,644.0,14.0,-1.0,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa entrega das lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,,4.0,Fase 5 (1º EM),Feminino,8.3,5.0,4.7,12.0,8.1,,7.7730935185,6.49,7.5595,Não,3.9,Escola Pública,7.5,5.6,6.458,4.3,4.0,nan,Ametista,Ametista,Ametista,Ágata,nan,5.8,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Promovido de Fase,Requer avaliação,L,6.49,nan,1,0.0,2.0,2.0,2.0,1.0,0.0,0.0
2021,,,0,,Avaliador-15,Avaliador-5,Avaliador-2,nan,,,67.0,430.5,6.0,-2.0,nan,nan,nan,,2.0,Fase 3 (7° e 8° ano),Masculino,0.0,5.0,4.8,12.0,7.2,6,7.7730935185,6.994,7.5595,nan,6.7,Pública,6.9,7.5,8.003333333,5.2,3.0,nan,Quartzo,Ametista,Quartzo,Ágata,nan,4.3,nan,nan,nan,nan,nan,1N,6,nan,0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
2020,2011,,1,,Avaliador-7,Avaliador-3,nan,nan,,,15.0,70.0,2.0,-1.0,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa entrega das lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,,1.0,Fase 2 (5º e 6º ano),Masculino,9.5,5.0,8.2,12.0,9.9,,7.7730935185,8.261,7.5595,Sim,6.7,Escola Pública,7.5,7.5,8.944,8.3,3.0,Ametista,Ametista,Ametista,Topázio,Topázio,nan,8.0,Promovido de Fase + Bolsa,Promovido de Fase,Mantido na Fase atual,nan,Não atendido,J,8.261,Ametista,0,2.0,2.0,2.0,3.0,3.0,0.0,2.0
"202400,00%",,,0,Cursando,Avaliador-22,Avaliador-26,Avaliador-1,Avaliador-5,nan,nan,67.0,430.5,6.0,-2.0,nan,nan,nan,EE Alexandre Rodrigues Nogueira,2.0,Fase 6 (2° EM),Feminino,9.2,5.0,6.5,17.0,9.2,,8.0,7.306,7.5595,nan,8.5,Pública,7.8,7.5,8.3,3.0,4.0,nan,Ametista,Ametista,nan,nan,nan,8.0,nan,nan,,,nan,4B,8.0,nan,1,0.0,2.0,2.0,0.0,0.0,0.0,0.0
2022,,,0,Cursando,Avaliador-20,Avaliador-21,Avaliador-23,nan,nan,nan,67.0,430.5,6.0,0.0,nan,nan,nan,EE Donizetti Aparecido Leite Professor,2.0,Fase 3 (7° e 8° ano),Feminino,7.1,10.0,6.5,13.0,9.4,,8.0,7.193,7.518,nan,4.5,Pública,9.2,7.5,8.9,9.0,3.0,nan,Ametista,Topázio,nan,Ametista,Ametista,6.0,nan,nan,,,nan,3R,8.0,nan,1,0.0,2.0,3.0,0.0,2.0,2.0,0.0
2022,,,0,Cursando,Avaliador-23,Avaliador-24,Avaliador-26,Avaliador-1,Avaliador-7,nan,67.0,430.5,6.0,0.0,nan,nan,nan,Colégio Arco Íris Evolução,2.0,Fase 5 (1° EM),Feminino,8.8,10.0,7.8,16.0,9.5,,8.560593939,8.283,7.919,nan,10.0,Privada - Programa de Apadrinhamento,7.6,7.5,8.5,10.0,5.0,nan,Ametista,Topázio,nan,Topázio,Ametista,3.5,nan,nan,,,nan,5A,8.560593939,nan,1,0.0,2.0,3.0,0.0,3.0,2.0,0.0
